order_item_name,order_date,order_initial_cost,order_gst,order_discount,order_final_cost,order_quantity,order_customer_name,order_customer_contact_no
Apples,2025-04-08,139.00,10.00,5.00,122.55,2,Tom Bakes,1999666333
Raspberry,2025-05-08,149.00,10.00,5.00,122.55,1,Nebe Downton,1111222333
Orange,2025-04-07,159.00,10.00,5.00,122.55,5,Zhao Yistan,1555666777
Bannana,2025-05-09,169.00,10.00,5.00,122.55,1,K.N. Owen,1333444555
Potato,2025-03-08,179.00,10.00,5.00,122.55,1,W.E. Noe,1777888999
Apples,2025-04-10,149.00,10.00,5.00,122.55,1,Tom Bakes,1999666333
Raspberry,2025-01-08,159.00,10.00,5.00,122.55,3,Nebe Downton,1111222333
Orange,2025-02-05,169.00,10.00,5.00,122.55,1,Zhao Yistan,1555666777
Bannana,2025-07-08,199.00,10.00,5.00,122.55,1,K.N. Owen,1333444555
Potato,2025-03-09,179.00,10.00,5.00,122.55,4,W.E. Noe,1777888999
Apples,2025-06-04,169.00,10.00,5.00,122.55,1,Tom Bakes,1999666333
Raspberry,2025-06-04,149.00,10.00,5.00,122.55,1,Nebe Downton,1111222333
Orange,2025-09-05,129.00,10.00,5.00,122.55,1,Zhao Yistan,1555666777
Bannana,2025-08-08,159.00,10.00,5.00,122.55,1,K.N. Owen,1333444555
Potato,2025-03-06,169.00,10.00,5.00,122.55,1,W.E. Noe,1777888999
Apples,2025-04-03,199.00,10.00,5.00,122.55,9,Tom Bakes,1999666333
Raspberry,2025-06-09,189.00,10.00,5.00,122.55,1,Nebe Downton,1111222333
Orange,2025-05-09,159.00,10.00,5.00,122.55,1,Zhao Yistan,1555666777
Bannana,2025-03-07,169.00,10.00,5.00,122.55,1,K.N. Owen,1333444555
Potato,2025-09-04,159.00,10.00,5.00,122.55,1,W.E. Noe,1777888999
